name of the book,embed code,image url
Goody Two-Shoes,"<iframe src=""https://archive.org/embed/goodytwoshoes00newyiala"" width=""560"" height=""384"" frameborder=""0"" webkitallowfullscreen=""true"" mozallowfullscreen=""true"" allowfullscreen></iframe>",https://dn721606.ca.archive.org/0/items/goodytwoshoes00newyiala/goodytwoshoes00newyiala_cover_image.jpg
Abroad,"<iframe src=""https://archive.org/embed/abroadcranethoma00craniala"" width=""560"" height=""384"" frameborder=""0"" webkitallowfullscreen=""true"" mozallowfullscreen=""true"" allowfullscreen></iframe>",https://ia801607.us.archive.org/0/items/abroadcranethoma00craniala/abroadcranethoma00craniala_cover_image.jpg
The wonderful wizard of Oz,"<iframe src=""https://archive.org/embed/wonderfulwizardo00baumiala"" width=""560"" height=""384"" frameborder=""0"" webkitallowfullscreen=""true"" mozallowfullscreen=""true"" allowfullscreen></iframe>",https://ia601209.us.archive.org/11/items/wonderfulwizardo00baumiala/wonderfulwizardo00baumiala_cover_image.jpg
The adventures of Tom Sawyer,"<iframe src=""https://archive.org/embed/adventuresoftoms00twaiiala"" width=""560"" height=""384"" frameborder=""0"" webkitallowfullscreen=""true"" mozallowfullscreen=""true"" allowfullscreen></iframe>",https://ia800202.us.archive.org/10/items/adventuresoftoms00twaiiala/adventuresoftoms00twaiiala_cover_image.jpg
Old French fairy tales,"<iframe src=""https://archive.org/embed/oldfrenchfairyta00sgrich"" width=""560"" height=""384"" frameborder=""0"" webkitallowfullscreen=""true"" mozallowfullscreen=""true"" allowfullscreen></iframe>",https://ia601201.us.archive.org/27/items/oldfrenchfairyta00sgrich/oldfrenchfairyta00sgrich_cover_image.jpg
Cinderella,"<iframe src=""https://archive.org/embed/cinderella00dalziala"" width=""560"" height=""384"" frameborder=""0"" webkitallowfullscreen=""true"" mozallowfullscreen=""true"" allowfullscreen></iframe>",https://ia800309.us.archive.org/34/items/cinderella00dalziala/cinderella00dalziala_cover_image.jpg
My Very First Little German Book,"<iframe src=""https://archive.org/embed/__firs"" width=""560"" height=""384"" frameborder=""0"" webkitallowfullscreen=""true"" mozallowfullscreen=""true"" allowfullscreen></iframe>",
Kittens and cats; a book of tales,"<iframe src=""https://archive.org/embed/kittenscatsbooko00grov"" width=""560"" height=""384"" frameborder=""0"" webkitallowfullscreen=""true"" mozallowfullscreen=""true"" allowfullscreen></iframe>",https://ia801802.us.archive.org/26/items/kittenscatsbooko00grov/kittenscatsbooko00grov_cover_image.jpg
Adventures of Huckleberry Finn (Tom Sawyer's comrade),"<iframe src=""https://archive.org/embed/adventureshuckle00twaiiala"" width=""560"" height=""384"" frameborder=""0"" webkitallowfullscreen=""true"" mozallowfullscreen=""true"" allowfullscreen></iframe>",
McGuffey's eclectic primer,"<iframe src=""https://archive.org/embed/mcguffeyselecti00mcgu"" width=""560"" height=""384"" frameborder=""0"" webkitallowfullscreen=""true"" mozallowfullscreen=""true"" allowfullscreen></iframe>",
