rank,title,author,format,price_gbp,rating,review_count,product_url,image_url,description
1,"Welcome to Weird Street (the new laugh-out-loud, brilliantly silly new book by bestselling author, actor and TV presenter Ste",Stephen Mangan,Paperback,6.17,,,https://www.amazon.co.uk/Welcome-laugh-out-loud-brilliantly-bestselling-presenter/dp/070234429X/ref=zg%5Fbsnr%5Fg%5F69%5Fd%5Fsccl%5F1/521-7531938-4522236?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/81AqgI0bgsL._AC_UL300_SR300,200_.jpg","Welcome to Weird Street (the new laugh-out-loud, brilliantly silly new book by bestselling author, actor and TV presenter Stephen Mangan!) : Mangan, Stephen, Mangan, Anita: Amazon.co.uk: Books"
2,Sticker Dolly Dressing K-POP,Lesley Sims,Paperback,5.99,,,https://www.amazon.co.uk/Sticker-Dolly-Dressing-K-POP-Lesley/dp/1806460726/ref=zg%5Fbsnr%5Fg%5F69%5Fd%5Fsccl%5F2/521-7531938-4522236?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/814eR7Z2vQL._AC_UL300_SR300,200_.jpg","Sticker Dolly Dressing K-POP : Sims, Lesley: Amazon.co.uk: Books"
3,Diary of a Wimpy Kid: Fight or Flight (Book 21): THE NEXT HILARIOUS BOOK IN THE BESTSELLING SERIES,Jeff Kinney,Hardcover,7.49,,,https://www.amazon.co.uk/Diary-Wimpy-Kid-HILARIOUS-BESTSELLING/dp/0241745217/ref=zg%5Fbsnr%5Fg%5F69%5Fd%5Fsccl%5F3/521-7531938-4522236?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/81qLukIMvDL._AC_UL300_SR300,200_.jpg","Diary of a Wimpy Kid: Fight or Flight (Book 21): THE NEXT HILARIOUS BOOK IN THE BESTSELLING SERIES : Kinney, Jeff, Kinney, Jeff: Amazon.co.uk: Books"
4,When Brian Met Terry,Russell Kane,Paperback,7.59,,,https://www.amazon.co.uk/When-Brian-Terry-Russell-Kane/dp/1836006527/ref=zg%5Fbsnr%5Fg%5F69%5Fd%5Fsccl%5F4/521-7531938-4522236?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/81mcWVWqmAL._AC_UL300_SR300,200_.jpg","Buy When Brian Met Terry by Kane, Russell, Salcedo, Erica (ISBN: 9781836006527) from Amazon's Book Store. Everyday low prices and free delivery on eligible orders."
5,Plants Need Friends Too!,Jamie Walton,Paperback,7.65,,,https://www.amazon.co.uk/Plants-Need-Friends-Jamie-Walton/dp/1805704249/ref=zg%5Fbsnr%5Fg%5F69%5Fd%5Fsccl%5F5/521-7531938-4522236?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/91FdbLA0K4L._AC_UL300_SR300,200_.jpg","Buy Plants Need Friends Too! by Walton, Jamie, Gerrard, Rose (ISBN: 9781805704249) from Amazon's Book Store. Everyday low prices and free delivery on eligible orders."
6,The Dinosaur that Pooped A Football,Tom Fletcher,Paperback,5.99,,,https://www.amazon.co.uk/Dinosaur-that-Pooped-Football/dp/0241649293/ref=zg%5Fbsnr%5Fg%5F69%5Fd%5Fsccl%5F6/521-7531938-4522236?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/91Jhp-ZDt7L._AC_UL300_SR300,200_.jpg","Buy The Dinosaur that Pooped A Football by Fletcher, Tom, Poynter, Dougie, Parsons, Garry (ISBN: 9780241649299) from Amazon's Book Store. Everyday low prices and free delivery on eligible orders."
7,Pablo and Splash: Viking Voyage: The hilarious kids graphic novel series about time-travelling penguins,Sheena Dempsey,Paperback,4.49,,,https://www.amazon.co.uk/Pablo-Splash-hilarious-time-travelling-penguins/dp/152669087X/ref=zg%5Fbsnr%5Fg%5F69%5Fd%5Fsccl%5F7/521-7531938-4522236?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/91hbIfn3XvL._AC_UL300_SR300,200_.jpg","Pablo and Splash: Viking Voyage: The hilarious kids graphic novel series about time-travelling penguins : Dempsey, Sheena: Amazon.co.uk: Books"
8,"You, Me & ADHD: A Positive Guide to Understanding Your Brilliant Brain",Sam Thompson,Paperback,8.49,,,https://www.amazon.co.uk/You-Me-ADHD-Understanding-Brilliant/dp/0241824877/ref=zg%5Fbsnr%5Fg%5F69%5Fd%5Fsccl%5F8/521-7531938-4522236?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/81hsfXx+oXL._AC_UL300_SR300,200_.jpg","You, Me & ADHD: A Positive Guide to Understanding Your Brilliant Brain : Thompson, Sam: Amazon.co.uk: Books"
9,FIFA World Cup 2026 Kids' Handbook: The Official Guide,Alex Rice,Paperback,8.49,,,https://www.amazon.co.uk/FIFA-World-2026-Kids-Handbook/dp/1804539902/ref=zg%5Fbsnr%5Fg%5F69%5Fd%5Fsccl%5F9/521-7531938-4522236?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61CjgcAY88L._AC_UL300_SR300,200_.jpg","Buy FIFA World Cup 2026 Kids' Handbook: The Official Guide by Rice, Alex (ISBN: 9781804539903) from Amazon's Book Store. Everyday low prices and free delivery on eligible orders."
10,Final Fantasy IX Picture Book: Vivi and Grandpa's Memories for the Sky,Kazuhiko Aoki,Hardcover,13.69,,,https://www.amazon.co.uk/Final-Fantasy-IX-Picture-Book/dp/1646094735/ref=zg%5Fbsnr%5Fg%5F69%5Fd%5Fsccl%5F10/521-7531938-4522236?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/812FiL0RcVL._AC_UL300_SR300,200_.jpg","Final Fantasy IX Picture Book: Vivi and Grandpa's Memories for the Sky : Kazuhiko Aoki, Toshiyuki Itahana: Amazon.co.uk: Books"
